LATENCY_ARB_MOMENTUM_THRESHOLD,LATENCY_ARB_MAX_ASK,MAX_POSITION_FRACTION,pnl,win_rate,trades,wins,losses,max_dd,hwm,final_balance,signals,total_fees,pnl_net,elapsed_s
0.0008,0.5,0.03,24893.354496546548,0.5463576158940397,1208,660,548,0.31391674109184103,25213.378856816456,25093.354496546548,1846,1084.54416925969,24893.354496546548,14.562323917
0.0008,0.5,0.05,27688.461715080368,0.5456053067993366,1206,658,548,0.26388507921915433,28008.486075350276,27888.461715080368,1843,1245.6351352323422,27688.461715080368,13.877590917
0.0008,0.5,0.075,22268.07031068825,0.5764411027568922,798,460,338,0.39234895941923376,22588.09467095816,22468.07031068825,1880,958.7682544127448,22268.07031068825,13.348913709
0.0008,0.5,0.1,30656.787660592054,0.5350223546944859,1342,718,624,0.4189164729830298,30976.812020861962,30856.787660592054,1841,1348.5340763424276,30656.787660592054,14.1931545
0.0008,0.5,0.125,30666.491023971903,0.5373831775700935,1284,690,594,0.42277245605497615,30986.51538424181,30866.491023971903,1837,1338.589679094149,30666.491023971903,14.692312625
0.0008,0.55,0.03,81282.92963640067,0.6173108328796951,1837,1134,703,0.2956964086006758,81482.92963640067,81482.92963640067,3052,3070.512527722576,81282.92963640067,13.73064675
0.0008,0.55,0.05,87999.04153258589,0.6135540610450078,1933,1186,747,0.3653046413587177,88199.04153258589,88199.04153258589,3057,3488.6105346565955,87999.04153258589,13.413346041
0.0008,0.55,0.075,-55.71295479074041,0.4659090909090909,88,41,47,0.5043049055502954,291.08023626790117,144.2870452092596,3190,11.77499210417316,-55.71295479074041,11.889070792
0.0008,0.55,0.1,58.685092227979794,0.47305389221556887,167,79,88,0.5099212197932147,527.843895054647,258.6850922279798,3184,29.083351553114703,58.685092227979794,12.8228865
0.0008,0.55,0.125,84.73345995643928,0.47480106100795755,377,179,198,0.5127786255436365,584.4026450484482,284.7334599564393,3166,66.84165944654578,84.73345995643928,14.2281005
0.0008,0.6,0.03,80909.64025484957,0.6078838174273858,2410,1465,945,0.2758909276861814,81109.64025484957,81109.64025484957,3706,3894.9466934075062,80909.64025484957,15.284475834
0.0008,0.6,0.05,81798.13629849,0.6042518397383483,2446,1478,968,0.3320107240896835,81998.13629849,81998.13629849,3712,3936.425869221772,81798.13629849,13.276725
0.0008,0.6,0.075,82896.4630282989,0.6051364365971108,2492,1508,984,0.42582246499571835,83096.4630282989,83096.4630282989,3712,4130.257873959501,82896.4630282989,14.203659625
0.0008,0.6,0.1,82136.11350383655,0.6028056112224449,2495,1504,991,0.46365005021112754,82336.11350383655,82336.11350383655,3705,4036.626128506877,82136.11350383655,15.398645125
0.0008,0.6,0.125,8.360160378135049,0.5289256198347108,121,64,57,0.5118679752574786,426.8520601327896,208.36016037813505,3884,25.410773452710732,8.360160378135049,12.384185
0.0008,0.65,0.03,66233.17883718427,0.6193433895297249,2254,1396,858,0.43153851113562397,66433.17883718427,66433.17883718427,4366,3253.210021977961,66233.17883718427,15.3498875
0.0008,0.65,0.05,69327.84819558205,0.6277412280701754,1824,1145,679,0.4787856704347355,69527.84819558205,69527.84819558205,4435,3418.077155362529,69327.84819558205,14.331714583
0.0008,0.65,0.075,-50.642770084441054,0.5045871559633027,327,165,162,0.5005573962088573,299.0478360913265,149.35722991555895,4535,40.35936759687876,-50.642770084441054,12.419977959
0.0008,0.65,0.1,-61.96795664298651,0.5043478260869565,115,58,57,0.5112417124449915,282.41371424618217,138.0320433570135,4560,17.78061883204122,-61.96795664298651,13.997048791
