LATENCY_ARB_MOMENTUM_THRESHOLD,LATENCY_ARB_MAX_ASK,MAX_POSITION_FRACTION,pnl,win_rate,trades,wins,losses,max_dd,hwm,final_balance,signals,elapsed_s
0.001,0.45,0.05,-9.580000000000098,0.37383177570093457,107,40,67,0.3129352336279996,277.15,190.4199999999999,182,8.138
0.001,0.45,0.075,-7.640000000000185,0.37383177570093457,107,40,67,0.31236147851576507,279.7399999999999,192.35999999999981,182,8.068
0.001,0.45,0.1,-6.080000000000041,0.375,16,6,10,0.3182633151696257,284.45,193.91999999999996,186,8.22
0.001,0.45,0.125,2.8100000000000023,0.4,15,6,9,0.33515817079167354,305.05,202.81,187,8.296
0.001,0.45,0.15,1.0800000000000125,0.4,15,6,9,0.3905189136760427,329.92,201.08,187,8.259
0.001,0.5,0.05,3.4700000000000273,0.4148936170212766,94,39,55,0.3040191551222849,292.35,203.47000000000003,257,8.17
0.001,0.5,0.075,-59.400000000000006,0.25,16,4,12,0.32662835249042155,208.8,140.6,265,8.203
0.001,0.5,0.1,-55.930000000000035,0.25,8,2,6,0.3207449316360209,212.1,144.06999999999996,265,8.418
0.001,0.5,0.125,-57,0.2857142857142857,7,2,5,0.3361188486536676,215.4,143,265,8.329
0.001,0.5,0.15,-67.25999999999999,0.2857142857142857,7,2,5,0.39151959660783864,218.15,132.74,265,8.415
0.001,0.55,0.05,-61.73999999999998,0.25,20,5,15,0.3086999999999999,200,138.26000000000002,369,8.284
0.001,0.55,0.075,-65.04999999999998,0.23076923076923078,13,3,10,0.32524999999999993,200,134.95000000000002,369,8.294
0.001,0.55,0.1,-68.42000000000002,0.2727272727272727,11,3,8,0.34210000000000007,200,131.57999999999998,370,8.359
0.001,0.55,0.125,-72.66,0.3,10,3,7,0.36329999999999996,200,127.34,370,8.342
0.001,0.55,0.15,-65.47999999999999,0.3333333333333333,9,3,6,0.32739999999999997,200,134.52,374,8.411
0.001,0.6,0.05,18.501840796020133,0.4748603351955307,179,85,94,0.31163577072053916,317.42184079602015,218.50184079602013,460,8.171
0.001,0.6,0.075,9.280000000000058,0.5306122448979592,49,26,23,0.30351437699680495,300.48,209.28000000000006,469,8.28
0.001,0.6,0.1,-62.37999999999994,0.35714285714285715,14,5,9,0.3118999999999997,200,137.62000000000006,472,8.564
0.001,0.6,0.125,-67.44000000000005,0.38461538461538464,13,5,8,0.3372000000000003,200,132.55999999999995,472,8.265
0.001,0.6,0.15,-65.34999999999997,0.36363636363636365,11,4,7,0.3267499999999998,200,134.65000000000003,472,8.258
0.001,0.65,0.05,-2.2591044776120555,0.5255102040816326,196,103,93,0.3078017445186642,285.67089552238804,197.74089552238794,559,8.151
0.001,0.65,0.075,-60.72999999999996,0.5384615384615384,39,21,18,0.3211970560998195,205.17000000000002,139.27000000000004,567,8.278
0.001,0.65,0.1,-61.579999999999984,0.42105263157894735,19,8,11,0.32981504793260386,206.54000000000002,138.42000000000002,567,8.378
0.001,0.65,0.125,-56.25,0.4666666666666667,15,7,8,0.30303030303030315,206.25000000000003,143.75,570,8.245
0.001,0.65,0.15,-66.76000000000002,0.4666666666666667,15,7,8,0.35498862371109063,206.56999999999996,133.23999999999998,570,8.227
0.0012,0.45,0.05,-3.8800000000000523,0.3783783783783784,74,28,46,0.3028083896196234,281.3,196.11999999999995,115,8.585
0.0012,0.45,0.075,27.87999999999991,0.4166666666666667,48,20,28,0.30558264261335955,328.15999999999997,227.8799999999999,116,8.702
0.0012,0.45,0.1,55.8400000000002,0.43478260869565216,46,20,26,0.31034854570450393,370.97,255.8400000000002,116,8.729
0.0012,0.45,0.125,82.87,0.4634146341463415,41,19,22,0.30765841838607816,408.56999999999994,282.87,119,8.607
0.0012,0.45,0.15,109.74999999999994,0.475,40,19,21,0.3021919845006647,443.89,309.74999999999994,119,8.632
0.0012,0.5,0.05,92.63,0.4634146341463415,82,38,44,0.3019489038906513,419.2099999999999,292.63,170,8.475
0.0012,0.5,0.075,185.71000000000015,0.49206349206349204,63,31,32,0.30493936172129815,554.9300000000002,385.71000000000015,170,8.475
0.0012,0.5,0.1,125.29000000000002,0.5625,32,18,14,0.3345675476638573,488.84000000000003,325.29,174,8.601
0.0012,0.5,0.125,159.56,0.5625,32,18,14,0.36063445774134467,562.37,359.56,174,8.531
0.0012,0.5,0.15,-66.73000000000002,0,3,0,3,0.3336500000000001,200,133.26999999999998,175,8.613
0.0012,0.55,0.05,264.53189054726374,0.5268817204301075,186,98,88,0.24930679342444073,561.8518905472637,464.53189054726374,230,8.378
0.0012,0.55,0.075,-62.22999999999999,0.1,10,1,9,0.31871229354168723,202.22,137.77,243,8.465
0.0012,0.55,0.1,-60.19999999999999,0.14285714285714285,7,1,6,0.3095614381667324,202.48,139.8,245,8.48
0.0012,0.55,0.125,-64.46999999999997,0.16666666666666666,6,1,5,0.3315083357995461,202.74,135.53000000000003,245,8.457
0.0012,0.55,0.15,-75.23000000000002,0.16666666666666666,6,1,5,0.38536945812807893,203,124.76999999999998,245,8.497
0.0012,0.6,0.05,1086.3688557213934,0.592436974789916,238,141,97,0.2214174054388975,1316.1988557213933,1286.3688557213934,303,8.371
0.0012,0.6,0.075,1282.048756218905,0.582089552238806,201,117,84,0.3180491869704663,2173.248756218905,1482.048756218905,304,8.317
0.0012,0.6,0.1,289.78870646766194,0.6231884057971014,69,43,26,0.30408830983939183,703.8087064676619,489.78870646766194,312,8.368
0.0012,0.6,0.125,-60.809999999999974,0.2857142857142857,7,2,5,0.31345565749235466,202.74,139.19000000000003,316,8.323
0.0012,0.6,0.15,-71.1,0.2857142857142857,7,2,5,0.3650246305418719,203,128.9,316,8.301
0.0012,0.65,0.05,1086.94487562189,0.6091549295774648,284,173,111,0.24798649726894825,1308.3948756218904,1286.94487562189,366,8.185
0.0012,0.65,0.075,-54.97,0.3076923076923077,13,4,9,0.3002171290711701,207.25,145.03,377,8.275
0.0012,0.65,0.1,-61.839999999999975,0.3,10,3,7,0.3390422427402764,209.03,138.16000000000003,377,8.324
0.0012,0.65,0.125,-64.75000000000003,0.3333333333333333,9,3,6,0.3587008060692273,210.9,135.24999999999997,377,8.276
0.0012,0.65,0.15,-54.339999999999975,0.375,8,3,5,0.3151213090088395,212.68,145.66000000000003,381,8.288
0.0014,0.45,0.05,71.35999999999984,0.42168674698795183,83,35,48,0.23509439594060147,300.11999999999983,271.35999999999984,86,8.46
0.0014,0.45,0.075,85.07000000000005,0.42168674698795183,83,35,48,0.22625659050966573,325.9100000000001,285.07000000000005,86,8.442
0.0014,0.45,0.1,91.91000000000031,0.42168674698795183,83,35,48,0.23760828502572692,343.1800000000003,291.9100000000003,86,8.439
0.0014,0.45,0.125,97.18000000000006,0.42168674698795183,83,35,48,0.26777229941730135,359.27000000000004,297.18000000000006,86,8.479
0.0014,0.45,0.15,104.91999999999996,0.42168674698795183,83,35,48,0.29585717806193684,374.63,304.91999999999996,86,8.572
0.0014,0.5,0.05,158.7800000000002,0.4953271028037383,107,53,54,0.2984135049683825,393.7500000000002,358.7800000000002,120,8.588
0.0014,0.5,0.075,119.33000000000015,0.5,42,21,21,0.3113435410825965,463.7000000000002,319.33000000000015,124,8.582
0.0014,0.5,0.1,190.6900000000001,0.5,42,21,21,0.3664520732320365,616.6700000000001,390.6900000000001,124,8.581
0.0014,0.5,0.125,297.06999999999977,0.5121951219512195,41,21,20,0.334640662856225,747.0699999999997,497.06999999999977,124,8.597
0.0014,0.5,0.15,-62.640000000000015,0,3,0,3,0.3132000000000001,200,137.35999999999999,125,8.597
0.0014,0.55,0.05,22.289999999999935,0.484375,64,31,33,0.30791743204956573,321.18999999999994,222.28999999999994,163,8.557
0.0014,0.55,0.075,-59.109999999999985,0.18181818181818182,11,2,9,0.30207559320354677,201.87,140.89000000000001,168,8.595
0.0014,0.55,0.1,-60.08000000000001,0.14285714285714285,7,1,6,0.30787495053423036,202.16,139.92,169,8.751
0.0014,0.55,0.125,-62.870000000000005,0.16666666666666666,6,1,5,0.3243163340724316,202.95,137.13,169,8.772
0.0014,0.55,0.15,-60.22,0.2,5,1,4,0.3122416847077347,203.24,139.78,169,8.717
0.0014,0.6,0.05,156.94999999999993,0.5535714285714286,112,62,50,0.3081962129581177,515.9699999999999,356.94999999999993,214,8.421
0.0014,0.6,0.075,257.3900000000001,0.5903614457831325,83,49,34,0.3237876995860437,676.4000000000001,457.3900000000001,215,8.457
0.0014,0.6,0.1,360.72,0.5975609756097561,82,49,33,0.32699601517115556,833.16,560.72,218,8.546
0.0014,0.6,0.125,332.2500000000001,0.6086956521739131,69,42,27,0.30731789846302004,768.3900000000001,532.2500000000001,218,8.644
