CALM_PERSISTENCE_MIN_WINDOW_TIME_MS,CALM_PERSISTENCE_MAX_ASK,CALM_PERSISTENCE_MIN_ABS_DISTANCE_BPS,CALM_PERSISTENCE_DISTANCE_VOL_RATIO_THRESHOLD,CALM_PERSISTENCE_MAX_OPEN_CROSSES_30S,pnl,win_rate,trades,wins,losses,max_dd,hwm,final_balance,signals,fill_rate,partial_fill_rate,no_fill_count,spread_legging_count,residual_position_count,avg_fill_latency_ms,avg_slippage,raw_event_batches,legacy_snapshot_batches,dislocation_regime_count,structural_pair_regime_count,calm_regime_count,dislocation_queued,structural_pair_queued,calm_queued,dislocation_filled,structural_pair_filled,calm_filled,dislocation_missed,structural_pair_missed,calm_missed,latency_arb_candidates,spread_capture_candidates,calm_persistence_candidates,router_blocked_count,capital_blocked_count,latency_spread_overlap_count,latency_calm_overlap_count,spread_calm_overlap_count,total_fees,gross_pnl,pnl_net,elapsed_s
30000,0.55,4,1.25,0,0,0,0,0,0,0,200,200,0,0,0,0,0,0,0,0,0,3002577,2472335,212,529426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.980205375
30000,0.55,4,1.25,1,0,0,0,0,0,0,200,200,0,0,0,0,0,0,0,0,0,3002577,2427303,212,574458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.734418291
30000,0.55,4,1.25,2,0,0,0,0,0,0,200,200,0,0,0,0,0,0,0,0,0,3002577,2410521,212,591240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.1788585
30000,0.55,4,1.75,0,0,0,0,0,0,0,200,200,0,0,0,0,0,0,0,0,0,3002577,2472335,212,529426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.887446708
30000,0.55,4,1.75,1,0,0,0,0,0,0,200,200,0,0,0,0,0,0,0,0,0,3002577,2427303,212,574458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.746771417
30000,0.55,4,1.75,2,0,0,0,0,0,0,200,200,0,0,0,0,0,0,0,0,0,3002577,2410521,212,591240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.160110375
30000,0.55,4,2.25,0,0,0,0,0,0,0,200,200,0,0,0,0,0,0,0,0,0,3002577,2472335,212,529426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.225487584
30000,0.55,4,2.25,1,0,0,0,0,0,0,200,200,0,0,0,0,0,0,0,0,0,3002577,2427303,212,574458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.907433333
30000,0.55,4,2.25,2,0,0,0,0,0,0,200,200,0,0,0,0,0,0,0,0,0,3002577,2410521,212,591240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.821941708
30000,0.55,6,1.25,0,0,0,0,0,0,0,200,200,0,0,0,0,0,0,0,0,0,3002577,2472335,212,529426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.198511084
30000,0.55,6,1.25,1,0,0,0,0,0,0,200,200,0,0,0,0,0,0,0,0,0,3002577,2427303,212,574458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.167869542
30000,0.55,6,1.25,2,0,0,0,0,0,0,200,200,0,0,0,0,0,0,0,0,0,3002577,2410521,212,591240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.889178792
30000,0.55,6,1.75,0,0,0,0,0,0,0,200,200,0,0,0,0,0,0,0,0,0,3002577,2472335,212,529426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.752282292
30000,0.55,6,1.75,1,0,0,0,0,0,0,200,200,0,0,0,0,0,0,0,0,0,3002577,2427303,212,574458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.940549125
30000,0.55,6,1.75,2,0,0,0,0,0,0,200,200,0,0,0,0,0,0,0,0,0,3002577,2410521,212,591240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.702712542
