LATENCY_ARB_MOMENTUM_THRESHOLD,LATENCY_ARB_MAX_ASK,MAX_POSITION_FRACTION,pnl,win_rate,trades,wins,losses,max_dd,hwm,final_balance,signals,elapsed_s
0.001,0.45,0.05,32.59999999999988,0.3888888888888889,162,63,99,0.3129352336279996,277.15,232.59999999999988,182,2.595462542
0.001,0.45,0.075,34.819999999999794,0.3888888888888889,162,63,99,0.31236147851576507,279.7399999999999,234.8199999999998,182,5.1686601660000004
0.001,0.45,0.1,42.109999999999815,0.3888888888888889,162,63,99,0.3182633151696257,286.8199999999999,242.10999999999981,182,2.211588916
0.001,0.45,0.125,44.36999999999986,0.3888888888888889,162,63,99,0.3829208326503852,305.05,244.36999999999986,182,2.253871083
0.001,0.45,0.15,45.5799999999999,0.3888888888888889,162,63,99,0.4431377303588748,329.92,245.5799999999999,182,2.222604708
0.001,0.5,0.05,111.16999999999996,0.441747572815534,206,91,115,0.3546434068753207,405.24999999999994,311.16999999999996,248,2.322048666
0.001,0.5,0.075,152.40000000000015,0.441747572815534,206,91,115,0.36630072534797087,518.3100000000002,352.40000000000015,248,2.177464625
0.001,0.5,0.1,165.87999999999994,0.441747572815534,206,91,115,0.4446487505893447,557.3900000000001,365.87999999999994,248,2.211726167
0.001,0.5,0.125,-98.59,0.2631578947368421,19,5,14,0.5292014856081708,215.4,101.41,265,2.083562667
0.001,0.5,0.15,-106.82000000000001,0.25,16,4,12,0.5728627091450837,218.15,93.17999999999999,265,4.299848875
0.001,0.55,0.05,-71.32308457711451,0.4094488188976378,127,52,75,0.5011302852407896,257.93691542288553,128.6769154228855,350,3.435319
0.001,0.55,0.075,-81.28407960199016,0.4146341463414634,123,51,72,0.5037290151905899,239.2159203980099,118.71592039800984,351,3.598667083
0.001,0.55,0.1,-102.33000000000003,0.25,20,5,15,0.5116500000000002,200,97.66999999999997,369,3.390014375
0.001,0.55,0.125,-104.76,0.25,16,4,12,0.5238,200,95.24,369,3.27868425
0.001,0.55,0.15,-104.47,0.25,12,3,9,0.52235,200,95.53,370,3.373253167
0.001,0.6,0.05,440.7218407960203,0.52,350,182,168,0.3636800785683283,839.4918407960204,640.7218407960203,449,3.461519791
0.001,0.6,0.075,541.5428358208956,0.52,350,182,168,0.3728035143769966,1095.3628358208955,741.5428358208956,449,3.388241459
0.001,0.6,0.1,479.2498507462692,0.52,350,182,168,0.4721632713494958,1100.3098507462691,679.2498507462692,449,3.398360375
0.001,0.6,0.125,-44.43114427860695,0.4722222222222222,180,85,95,0.5156317019313953,321.17885572139295,155.56885572139305,459,3.300624
0.001,0.6,0.15,-39.452139303482596,0.4853801169590643,171,83,88,0.5001278719885991,321.17786069651737,160.5478606965174,459,3.413348667
0.001,0.65,0.05,808.5208955223878,0.5785714285714286,420,243,177,0.4347660260345509,1420.4008955223876,1008.5208955223878,552,3.559229
0.001,0.65,0.075,1184.958855721393,0.5785714285714286,420,243,177,0.46523078051237055,2355.2888557213932,1384.958855721393,552,3.490663042
0.001,0.65,0.1,1723.4739303482584,0.5815602836879432,423,246,177,0.4904669632590524,3774.9739303482584,1923.4739303482584,556,3.594927
0.001,0.65,0.125,-97.69706467661683,0.574468085106383,94,54,40,0.5039857681290514,206.25000000000003,102.30293532338317,567,3.424785
0.001,0.65,0.15,-97.24000000000001,0.5405405405405406,37,20,17,0.502541511352084,206.56999999999996,102.75999999999999,567,3.565447583
0.0012,0.45,0.05,33.029999999999944,0.3963963963963964,111,44,67,0.3204052612868825,281.3,233.02999999999994,115,3.363474667
0.0012,0.45,0.075,44.40999999999974,0.3963963963963964,111,44,67,0.38956606533398375,328.15999999999997,244.40999999999974,115,3.351342875
0.0012,0.45,0.1,63.350000000000136,0.3963963963963964,111,44,67,0.41787745639809093,370.97,263.35000000000014,115,3.568966167
0.0012,0.45,0.125,76.78000000000031,0.3963963963963964,111,44,67,0.44391413955992814,408.56999999999994,276.7800000000003,115,3.621620459
0.0012,0.45,0.15,97.49000000000007,0.3963963963963964,111,44,67,0.44752078217576435,443.89,297.49000000000007,115,3.33863525
0.0012,0.5,0.05,201.48999999999995,0.4859154929577465,142,69,73,0.3217241955106032,431.19000000000005,401.48999999999995,168,3.382423542
0.0012,0.5,0.075,320.8599999999998,0.4859154929577465,142,69,73,0.3724974321085544,590.9499999999999,520.8599999999998,168,3.619215167
0.0012,0.5,0.1,411.4,0.4859154929577465,142,69,73,0.40019784568036937,723.56,611.4,168,3.0791365
0.0012,0.5,0.125,558.8800000000006,0.4859154929577465,142,69,73,0.41496439219362286,924.4400000000006,758.8800000000006,168,2.790282291
0.0012,0.5,0.15,731.4000000000002,0.4859154929577465,142,69,73,0.42454348670699893,1167.3700000000003,931.4000000000002,168,3.249837208
0.0012,0.55,0.05,264.53189054726374,0.5268817204301075,186,98,88,0.24930679342444073,561.8518905472637,464.53189054726374,230,3.36435225
0.0012,0.55,0.075,299.0718407960201,0.5268817204301075,186,98,88,0.3442785085550391,720.9018407960202,499.0718407960201,230,3.278435958
0.0012,0.55,0.1,329.6478109452737,0.5268817204301075,186,98,88,0.44177202686685096,859.3978109452739,529.6478109452737,230,3.139585417
0.0012,0.55,0.125,-102.71999999999998,0.23529411764705882,17,4,13,0.5201736213869981,202.74,97.28000000000002,241,3.120408833
0.0012,0.55,0.15,-101.23000000000002,0.1111111111111111,9,1,8,0.5134482758620691,203,98.76999999999998,243,3.124209458
0.0012,0.6,0.05,1086.3688557213934,0.592436974789916,238,141,97,0.2214174054388975,1316.1988557213933,1286.3688557213934,303,3.38453475
0.0012,0.6,0.075,1998.9587562189054,0.592436974789916,238,141,97,0.3180491869704663,2364.3287562189057,2198.9587562189054,303,3.368352583
0.0012,0.6,0.1,2893.0587064676624,0.592436974789916,238,141,97,0.38974511310510274,3728.818706467662,3093.0587064676624,303,3.374926041
0.0012,0.6,0.125,3359.7537313432854,0.592436974789916,238,141,97,0.42774422107080967,4690.463731343285,3559.7537313432854,303,3.342442208
0.0012,0.6,0.15,3490.001741293534,0.592436974789916,238,141,97,0.44415915804307937,5018.991741293535,3690.001741293534,303,3.457080375
0.0012,0.65,0.05,1086.94487562189,0.6091549295774648,284,173,111,0.24798649726894825,1308.3948756218904,1286.94487562189,366,3.618778333
0.0012,0.65,0.075,2172.058805970149,0.6091549295774648,284,173,111,0.3232492655440948,2452.88880597015,2372.058805970149,366,3.626133791
0.0012,0.65,0.1,3386.3307462686575,0.6091549295774648,284,173,111,0.40251046747306873,3807.9307462686575,3586.3307462686575,366,1.255525583
0.0012,0.65,0.125,4069.8107462686557,0.6091549295774648,284,173,111,0.46377430061640595,4740.9707462686565,4269.810746268656,366,3.109562458
0.0012,0.65,0.15,-99.42999999999998,0.3076923076923077,13,4,9,0.5271299605040436,212.68,100.57000000000002,377,3.038157916
0.0014,0.45,0.05,71.35999999999984,0.42168674698795183,83,35,48,0.23509439594060147,300.11999999999983,271.35999999999984,86,2.983426834
0.0014,0.45,0.075,85.07000000000005,0.42168674698795183,83,35,48,0.22625659050966573,325.9100000000001,285.07000000000005,86,3.268848958
0.0014,0.45,0.1,91.91000000000031,0.42168674698795183,83,35,48,0.23760828502572692,343.1800000000003,291.9100000000003,86,3.301479709
0.0014,0.45,0.125,97.18000000000006,0.42168674698795183,83,35,48,0.26777229941730135,359.27000000000004,297.18000000000006,86,3.402374416
0.0014,0.45,0.15,104.91999999999996,0.42168674698795183,83,35,48,0.29585717806193684,374.63,304.91999999999996,86,3.384677583
0.0014,0.5,0.05,158.7800000000002,0.4953271028037383,107,53,54,0.2984135049683825,393.7500000000002,358.7800000000002,120,3.44411725
0.0014,0.5,0.075,227.2800000000003,0.4953271028037383,107,53,54,0.37711882682769005,498.54000000000036,427.2800000000003,120,3.5340512090000002
0.0014,0.5,0.1,306.46000000000004,0.4953271028037383,107,53,54,0.425786887638445,625.2300000000001,506.46000000000004,120,3.821725667
0.0014,0.5,0.125,348.00999999999976,0.4953271028037383,107,53,54,0.47291418474841734,747.0699999999997,548.0099999999998,120,3.63879125
0.0014,0.5,0.15,198.62000000000006,0.45714285714285713,70,32,38,0.5007577180787776,798.45,398.62000000000006,120,3.285716958
0.0014,0.55,0.05,207.43999999999988,0.5223880597014925,134,70,64,0.33481739780192404,453.58999999999986,407.4399999999999,160,3.3349529589999998
0.0014,0.55,0.075,246.65000000000026,0.5223880597014925,134,70,64,0.4329327890530673,528.7700000000002,446.65000000000026,160,3.154949625
0.0014,0.55,0.1,-25.19000000000017,0.4691358024691358,81,38,43,0.5130911926912153,359.01999999999987,174.80999999999983,161,3.158004542
0.0014,0.55,0.125,-107.53,0.15384615384615385,13,2,11,0.5443705346144371,202.95,92.47,168,3.330881625
0.0014,0.55,0.15,-104.78,0.18181818181818182,11,2,9,0.5314898641999607,203.24,95.22,168,3.3987031659999998
0.0014,0.6,0.05,728.2099999999998,0.5965909090909091,176,105,71,0.3081962129581177,977.0099999999998,928.2099999999998,214,3.39215825
0.0014,0.6,0.075,1209.9400000000003,0.5965909090909091,176,105,71,0.39510644589000593,1576.0700000000002,1409.9400000000003,214,3.69596575
0.0014,0.6,0.1,1689.5799999999995,0.5965909090909091,176,105,71,0.4478971626098229,2255.7299999999996,1889.5799999999995,214,3.656300792
0.0014,0.6,0.125,2032.5099999999993,0.5965909090909091,176,105,71,0.48292201805356005,2712.11,2232.5099999999993,214,2.63800475
0.0014,0.6,0.15,763.4999999999993,0.5838926174496645,149,87,62,0.5201979961356893,2008.1199999999994,963.4999999999993,214,5.146686958
0.0014,0.65,0.05,736.7400000000001,0.6080402010050251,199,121,78,0.22673664177167724,985.9400000000002,936.7400000000001,254,2.227256292
0.0014,0.65,0.075,1176.75,0.6080402010050251,199,121,78,0.3318934485241182,1488.35,1376.75,254,2.258516125
0.0014,0.65,0.1,1690.9899999999998,0.6080402010050251,199,121,78,0.41035612434891244,2100.99,1890.9899999999998,254,2.304052625
0.0014,0.65,0.125,1847.54,0.6040609137055838,197,119,78,0.45080068982507987,2339.94,2047.54,254,2.320999875
0.0014,0.65,0.15,-98.64999999999999,0.25,12,3,9,0.5013284786459358,203.24,101.35000000000001,259,2.072056834
0.0016,0.45,0.05,67.05999999999989,0.509090909090909,55,28,27,0.296353522867738,323.59999999999997,267.0599999999999,57,2.1807725
0.0016,0.45,0.075,57.33999999999986,0.509090909090909,55,28,27,0.43571555240290855,394.72999999999996,257.33999999999986,57,2.097330708
0.0016,0.45,0.1,24.630000000000052,0.4878048780487805,41,20,21,0.5244013465732251,472.31000000000006,224.63000000000005,57,4.443906459
0.0016,0.45,0.125,60.47000000000014,0.48484848484848486,33,16,17,0.513948758140663,535.8900000000001,260.47000000000014,57,3.362749125
0.0016,0.45,0.15,86.68000000000006,0.48484848484848486,33,16,17,0.52096248642326,598.45,286.68000000000006,57,3.563148541
0.0016,0.5,0.05,101.61000000000013,0.5194805194805194,77,40,37,0.23599043322939067,330.31000000000006,301.6100000000001,85,3.593376708
0.0016,0.5,0.075,109.73000000000019,0.5194805194805194,77,40,37,0.33877541235136155,417.12000000000006,309.7300000000002,85,2.096386291
0.0016,0.5,0.1,100.38999999999999,0.5194805194805194,77,40,37,0.4289378156565657,506.88,300.39,85,3.277006917
0.0016,0.5,0.125,105.79000000000025,0.5194805194805194,77,40,37,0.47172590345601506,570.3100000000001,305.79000000000025,85,3.343331084
0.0016,0.5,0.15,132.8199999999996,0.5194805194805194,77,40,37,0.4874882582115529,649.3899999999999,332.8199999999996,85,3.342642667
0.0016,0.55,0.05,174.61999999999995,0.5353535353535354,99,53,46,0.2956539551398041,394.21999999999997,374.61999999999995,111,2.630572
0.0016,0.55,0.075,246.24999999999977,0.5353535353535354,99,53,46,0.3457137612433458,482.2499999999998,446.2499999999998,111,5.085827834
0.0016,0.55,0.1,256.7099999999997,0.5353535353535354,99,53,46,0.3790692066554136,516.1599999999997,456.7099999999997,111,2.232319833
0.0016,0.55,0.125,236.4299999999999,0.5353535353535354,99,53,46,0.41155963302752296,537.6499999999999,436.4299999999999,111,2.27582875
0.0016,0.55,0.15,235.2199999999999,0.5353535353535354,99,53,46,0.418801064904067,559.4699999999999,435.2199999999999,111,2.221064958
0.0016,0.6,0.05,471.4999999999998,0.6147540983606558,122,75,47,0.22922108615070821,706.6999999999998,671.4999999999998,137,2.3035331660000002
0.0016,0.6,0.075,722.1300000000002,0.6147540983606558,122,75,47,0.35490865827448587,996.5300000000002,922.1300000000002,137,2.1572742910000002
0.0016,0.6,0.1,948.26,0.6147540983606558,122,75,47,0.4394617415916891,1283.91,1148.26,137,2.174719958
0.0016,0.6,0.125,1131.309999999999,0.6147540983606558,122,75,47,0.49354343020434616,1576.2899999999993,1331.309999999999,137,2.135583125
0.0016,0.6,0.15,204.80999999999995,0.5789473684210527,76,44,32,0.5218007631153061,846.53,404.80999999999995,137,4.437871292
0.0016,0.65,0.05,538.6899999999999,0.6333333333333333,150,95,55,0.28858363153641936,777.4899999999999,738.6899999999999,180,3.4527215
0.0016,0.65,0.075,865.9999999999995,0.6333333333333333,150,95,55,0.3719082952815831,1152.3999999999996,1065.9999999999995,180,3.622528833
0.0016,0.65,0.1,1420.7200000000007,0.6333333333333333,150,95,55,0.39089475599401585,1800.7200000000007,1620.7200000000007,180,3.399356
