CALM_PERSISTENCE_MAX_POSITION_FRACTION,pnl,win_rate,trades,wins,losses,max_dd,hwm,final_balance,signals,fill_rate,partial_fill_rate,no_fill_count,spread_legging_count,residual_position_count,avg_fill_latency_ms,avg_slippage,raw_event_batches,legacy_snapshot_batches,dislocation_regime_count,structural_pair_regime_count,calm_regime_count,dislocation_queued,structural_pair_queued,calm_queued,dislocation_filled,structural_pair_filled,calm_filled,dislocation_missed,structural_pair_missed,calm_missed,latency_arb_candidates,spread_capture_candidates,calm_persistence_candidates,router_blocked_count,capital_blocked_count,latency_spread_overlap_count,latency_calm_overlap_count,spread_calm_overlap_count,total_fees,gross_pnl,pnl_net,elapsed_s
0.01,72915.33524578407,0.8317191283292978,826,687,139,0.19070199112559796,73961.84914403029,73115.33524578407,1860,0.6731866340668297,0.38498789346246975,401,8,8,1000.139225181598,0.01466274077601824,0,3002577,2419976,190,572750,605,46,576,434,12,380,171,34,196,672,188,812,0,1,0,0,0,1826.5563542160019,74741.89160000008,72915.33524578407,16.902310583
0.02,84952.94784006295,0.8255675029868578,837,691,146,0.19070199112559796,85999.46173830917,85152.94784006295,1859,0.6701361088871097,0.45758661887694146,412,8,8,1000.1409796893668,0.014923271803922245,0,3002577,2418490,190,572423,604,46,599,434,12,391,170,34,208,671,188,812,0,0,0,0,0,2106.19705993704,87059.14489999998,84952.94784006295,16.893704208
0.03,88950.90581269107,0.8242280285035629,842,694,148,0.22574922475962886,89997.41971093729,89150.90581269107,1859,0.6598746081504702,0.48693586698337293,434,8,8,1000.1448931116389,0.015108980188560946,0,3002577,2418500,190,572414,604,44,628,432,10,400,172,34,228,671,188,812,0,0,0,0,0,2219.4408873088796,91170.34669999995,88950.90581269107,16.891486125
0.05,91810.74790711465,0.8191365227537923,857,702,155,0.31486041856207947,92857.26180536087,92010.74790711465,1860,0.664856477889837,0.4912485414235706,432,8,8,1000.147024504084,0.015274885485654779,0,3002577,2418510,190,572404,603,44,642,433,10,414,170,34,228,672,188,812,0,3,0,0,0,2319.40029288528,94130.14819999994,91810.74790711465,16.903882
