LATENCY_ARB_MOMENTUM_THRESHOLD,LATENCY_ARB_MAX_ASK,MAX_POSITION_FRACTION,SPREAD_CAPTURE_THRESHOLD,pnl,win_rate,trades,wins,losses,max_dd,hwm,final_balance,signals,fill_rate,partial_fill_rate,no_fill_count,spread_legging_count,residual_position_count,avg_fill_latency_ms,avg_slippage,raw_event_batches,legacy_snapshot_batches,total_fees,gross_pnl,pnl_net,elapsed_s
0.0008,0.5,0.03,0.965,1525.226624751761,0.7482014388489209,139,104,35,0.14873093017512315,1773.7766387517609,1725.226624751761,625,0.6123348017621145,0.04316546762589928,88,0,0,1000.1798561151079,0.0062635134466830856,0,3002577,38.43047524824,1563.657100000001,1525.226624751761,14.156936833
0.0008,0.5,0.03,0.97,1525.226624751761,0.7482014388489209,139,104,35,0.14873093017512315,1773.7766387517609,1725.226624751761,625,0.6123348017621145,0.04316546762589928,88,0,0,1000.1798561151079,0.0062635134466830856,0,3002577,38.43047524824,1563.657100000001,1525.226624751761,13.0597925
0.0008,0.5,0.03,0.975,1525.226624751761,0.7482014388489209,139,104,35,0.14873093017512315,1773.7766387517609,1725.226624751761,625,0.6123348017621145,0.04316546762589928,88,0,0,1000.1798561151079,0.0062635134466830856,0,3002577,38.43047524824,1563.657100000001,1525.226624751761,12.881597375
0.0008,0.5,0.03,0.98,1525.226624751761,0.7482014388489209,139,104,35,0.14873093017512315,1773.7766387517609,1725.226624751761,625,0.6123348017621145,0.04316546762589928,88,0,0,1000.1798561151079,0.0062635134466830856,0,3002577,38.43047524824,1563.657100000001,1525.226624751761,12.056127125
0.0008,0.5,0.03,0.985,1483.147392751761,0.7428571428571429,140,104,36,0.14873093017512315,1773.7766387517609,1683.147392751761,629,0.6060606060606061,0.04285714285714286,91,1,1,1000.1785714285714,0.006192383789721408,0,3002577,38.909707248240004,1522.057100000001,1483.147392751761,12.535593709
0.0008,0.5,0.05,0.965,4443.36210885048,0.72,150,108,42,0.22586742818894104,4709.63287796048,4643.36210885048,625,0.5535055350553506,0.16,121,8,8,1000.1066666666667,0.004607962912025779,0,3002577,105.90899114951998,4549.2711,4443.36210885048,12.547871709
0.0008,0.5,0.05,0.97,4443.36210885048,0.72,150,108,42,0.22586742818894104,4709.63287796048,4643.36210885048,625,0.5535055350553506,0.16,121,8,8,1000.1066666666667,0.004607962912025779,0,3002577,105.90899114951998,4549.2711,4443.36210885048,12.403657416
0.0008,0.5,0.05,0.975,4443.36210885048,0.72,150,108,42,0.22586742818894104,4709.63287796048,4643.36210885048,625,0.5535055350553506,0.16,121,8,8,1000.1066666666667,0.004607962912025779,0,3002577,105.90899114951998,4549.2711,4443.36210885048,12.667468458
0.0008,0.5,0.05,0.98,4443.36210885048,0.72,150,108,42,0.22586742818894104,4709.63287796048,4643.36210885048,625,0.5535055350553506,0.16,121,8,8,1000.1066666666667,0.004607962912025779,0,3002577,105.90899114951998,4549.2711,4443.36210885048,12.477000542
0.0008,0.5,0.05,0.985,4252.387132850479,0.7152317880794702,151,108,43,0.22586742818894104,4709.63287796048,4452.387132850479,629,0.5490909090909091,0.15894039735099338,124,9,9,1000.1059602649007,0.004521826760667369,0,3002577,108.08396714951998,4360.471099999999,4252.387132850479,12.693517292
0.0008,0.5,0.075,0.965,9249.662089342559,0.7152317880794702,151,108,43,0.31488908850682074,9515.93285845256,9449.662089342559,625,0.5551470588235294,0.36423841059602646,121,8,8,1000.1456953642385,0.0044850977059654185,0,3002577,207.99271065743991,9457.654799999998,9249.662089342559,12.646459958
0.0008,0.5,0.075,0.97,9249.662089342559,0.7152317880794702,151,108,43,0.31488908850682074,9515.93285845256,9449.662089342559,625,0.5551470588235294,0.36423841059602646,121,8,8,1000.1456953642385,0.0044850977059654185,0,3002577,207.99271065743991,9457.654799999998,9249.662089342559,12.684867708
0.0008,0.5,0.075,0.975,9249.662089342559,0.7152317880794702,151,108,43,0.31488908850682074,9515.93285845256,9449.662089342559,625,0.5551470588235294,0.36423841059602646,121,8,8,1000.1456953642385,0.0044850977059654185,0,3002577,207.99271065743991,9457.654799999998,9249.662089342559,12.772020916
0.0008,0.5,0.075,0.98,9249.662089342559,0.7152317880794702,151,108,43,0.31488908850682074,9515.93285845256,9449.662089342559,625,0.5551470588235294,0.36423841059602646,121,8,8,1000.1456953642385,0.0044850977059654185,0,3002577,207.99271065743991,9457.654799999998,9249.662089342559,12.791437667
0.0008,0.5,0.075,0.985,8968.74275494256,0.7105263157894737,152,108,44,0.31488908850682074,9515.93285845256,9168.74275494256,629,0.5507246376811594,0.3684210526315789,124,9,9,1000.1447368421053,0.004421729144771035,0,3002577,211.1920450574399,9179.934799999999,8968.74275494256,12.736285417
0.0008,0.5,0.1,0.965,12024.56849430664,0.7152317880794702,151,108,43,0.31532074038768526,12290.839263416641,12224.56849430664,625,0.5551470588235294,0.4768211920529801,121,8,8,1000.1456953642385,0.004849698305727314,0,3002577,277.8376056933599,12302.4061,12024.56849430664,12.636931667
