    PID    PPID STAT %CPU %MEM     ELAPSED WCHAN                            CMD
 168439   31165 Sl    0.0  0.0  2-21:02:19 -                                /usr/bin/docker-proxy -proto tcp -host-ip :: -host-port 80 -container-ip 172.18.0.6 -container-port 80 -use-listen-fd
    895       1 Ssl   0.0  0.3  5-07:28:55 -                                /usr/sbin/ModemManager
     33       2 S     0.0  0.0  5-07:29:08 -                                [khungtaskd]
      2       0 S     0.0  0.0  5-07:29:08 -                                [kthreadd]
 168286  168261 Ss    0.0  0.0  2-21:02:25 do_wait                          /bin/sh -lc touch /runtime/dashboard.log buba-dashboard --config /config/dashboard.toml --static-dir /srv/static >> /runtime/dashboard.log 2>&1 
 168183  168158 Ss    0.0  0.0  2-21:02:30 do_wait                          /bin/sh -lc while [ ! -f /runtime/paint.db ]; do sleep 1; done touch /runtime/paint.log /runtime/agent.log buba-agent --db-path /runtime/paint.db --port 9090 --monitor-only --log-path /runtime/paint.log >> /runtime/agent.log 2>&1 
 168111  168087 Ss    0.0  0.0  2-21:02:30 do_wait                          /bin/sh -lc mkdir -p /runtime touch "$BUBA_PAINT_LOG_PATH" if [ ! -f "$DB_PATH" ]; then   buba-paint init-db --db-path "$DB_PATH" --balance "$STARTING_BALANCE" >> "$BUBA_PAINT_LOG_PATH" 2>&1 fi buba-paint live --db-path "$DB_PATH" --balance "$STARTING_BALANCE" >> "$BUBA_PAINT_LOG_PATH" 2>&1 
 168012  167986 Ss    0.0  0.0  2-21:02:36 do_wait                          /bin/sh -lc touch "$BUBA_SIDECAR_LOG_PATH" node dist/index.js >> "$BUBA_SIDECAR_LOG_PATH" 2>&1 
    716       1 Ss    0.0  0.0  5-07:28:56 -                                /bin/sh /usr/lib/systemd/scripts/chronyd-starter.sh -n -F 1
  31141       2 S     0.0  0.0  3-02:27:24 -                                [psimon]
      3       2 S     0.0  0.0  5-07:29:08 -                                [pool_workqueue_release]
      4       2 I<    0.0  0.0  5-07:29:08 -                                [kworker/R-rcu_gp]
      5       2 I<    0.0  0.0  5-07:29:08 -                                [kworker/R-sync_wq]
      6       2 I<    0.0  0.0  5-07:29:08 -                                [kworker/R-kvfree_rcu_reclaim]
      7       2 I<    0.0  0.0  5-07:29:08 -                                [kworker/R-slub_flushwq]
      8       2 I<    0.0  0.0  5-07:29:08 -                                [kworker/R-netns]
     10       2 I<    0.0  0.0  5-07:29:08 -                                [kworker/0:0H-kblockd]
     13       2 I<    0.0  0.0  5-07:29:08 -                                [kworker/R-mm_percpu_wq]
     16       2 S     0.0  0.0  5-07:29:08 -                                [rcu_exp_par_gp_kthread_worker/0]
     19       2 S     0.0  0.0  5-07:29:08 -                                [idle_inject/0]
     20       2 S     0.0  0.0  5-07:29:08 -                                [cpuhp/0]
     21       2 S     0.0  0.0  5-07:29:08 -                                [cpuhp/1]
     22       2 S     0.0  0.0  5-07:29:08 -                                [idle_inject/1]
     26       2 I<    0.0  0.0  5-07:29:08 -                                [kworker/1:0H-kblockd]
