LATENCY_ARB_MOMENTUM_THRESHOLD,LATENCY_ARB_MAX_ASK,MAX_POSITION_FRACTION,SPREAD_CAPTURE_THRESHOLD,pnl,win_rate,trades,wins,losses,max_dd,hwm,final_balance,signals,fill_rate,partial_fill_rate,no_fill_count,spread_legging_count,residual_position_count,avg_fill_latency_ms,avg_slippage,raw_event_batches,legacy_snapshot_batches,total_fees,gross_pnl,pnl_net,elapsed_s
0.0008,0.5,0.03,0.965,1046.02357873336,0.7520661157024794,121,91,30,0.16082988847863328,1280.83302273336,1246.02357873336,898,0.13892078071182548,0.03305785123966942,750,0,0,1000.1818181818181,0.00600371897714896,0,3002577,27.130521266639995,1073.1541,1046.02357873336,12.492207375
0.0008,0.5,0.03,0.97,1046.02357873336,0.7520661157024794,121,91,30,0.16082988847863328,1280.83302273336,1246.02357873336,920,0.135498320268757,0.03305785123966942,772,0,0,1000.1818181818181,0.00600371897714896,0,3002577,27.130521266639995,1073.1541,1046.02357873336,12.545699292
0.0008,0.5,0.03,0.975,1048.45831122936,0.7540983606557377,122,92,30,0.15951498118373256,1283.72577422936,1248.45831122936,1028,0.12187812187812187,0.03278688524590164,879,1,1,1000.188524590164,0.0060704443276972005,0,3002577,27.295788770639998,1075.7541,1048.45831122936,12.353376792
0.0008,0.5,0.03,0.98,1048.45831122936,0.7540983606557377,122,92,30,0.15951498118373256,1283.72577422936,1248.45831122936,1028,0.12187812187812187,0.03278688524590164,879,1,1,1000.188524590164,0.0060704443276972005,0,3002577,27.295788770639998,1075.7541,1048.45831122936,12.233966084
0.0008,0.5,0.03,0.985,1017.7081032293602,0.7479674796747967,123,92,31,0.15951498118373256,1283.72577422936,1217.7081032293602,1032,0.12238805970149254,0.032520325203252036,882,2,2,1000.1869918699186,0.0059986762720527186,0,3002577,27.645996770639996,1045.3541000000002,1017.7081032293602,12.516919666
0.0008,0.5,0.05,0.965,3686.791186114799,0.6720430107526881,186,125,61,0.21732929645020266,3953.061955224799,3886.791186114799,897,0.33756805807622503,0.10752688172043011,365,45,45,1000.1666666666666,0.004118262902562409,0,3002577,92.43451388519998,3779.225699999999,3686.791186114799,12.588763959
0.0008,0.5,0.05,0.97,3863.8080278347993,0.675531914893617,188,127,61,0.21732929645020266,4130.078796944799,4063.8080278347993,919,0.32809773123909247,0.10638297872340426,385,47,47,1000.1595744680851,0.004117401490850824,0,3002577,96.66767216520002,3960.4756999999995,3863.8080278347993,12.999331041
0.0008,0.5,0.05,0.975,3567.7162411597596,0.6666666666666666,195,130,65,0.25162871201149734,3833.9870102697596,3767.7162411597596,1027,0.25557011795543905,0.09230769230769231,568,54,54,1000.1743589743589,0.004085083296225847,0,3002577,91.16245884023998,3658.8786999999998,3567.7162411597596,13.052744333
0.0008,0.5,0.05,0.98,3567.7162411597596,0.6666666666666666,195,130,65,0.25162871201149734,3833.9870102697596,3767.7162411597596,1027,0.25557011795543905,0.09230769230769231,568,54,54,1000.1743589743589,0.004085083296225847,0,3002577,91.16245884023998,3658.8786999999998,3567.7162411597596,13.0550425
0.0008,0.5,0.05,0.985,3412.34676915976,0.6632653061224489,196,130,66,0.25162871201149734,3833.9870102697596,3612.34676915976,1031,0.25554106910039115,0.09183673469387756,571,55,55,1000.1734693877551,0.004012440759931682,0,3002577,92.93193084023997,3505.2787,3412.34676915976,12.944871125
0.0008,0.5,0.075,0.965,9249.55663864568,0.6462264150943396,212,137,75,0.35746892271848074,9515.82740775568,9449.55663864568,897,0.39042357274401474,0.2830188679245283,331,70,70,1000.188679245283,0.003996028697104632,0,3002577,217.25406135431996,9466.8107,9249.55663864568,13.009688958
0.0008,0.5,0.075,0.97,9315.93312192016,0.6495327102803738,214,139,75,0.35746892271848074,9582.20389103016,9515.93312192016,919,0.3787610619469027,0.2897196261682243,351,72,72,1000.1822429906542,0.004005306238933165,0,3002577,219.22767807983996,9535.1608,9315.93312192016,12.788511791
0.0008,0.5,0.075,0.975,8548.52099693448,0.6244725738396625,237,148,89,0.3802080632503837,8814.79176604448,8748.52099693448,1027,0.3521545319465082,0.22362869198312235,436,96,96,1000.2320675105485,0.0037378008655178274,0,3002577,203.22150306551998,8751.7425,8548.52099693448,13.020656584
0.0008,0.5,0.075,0.98,8548.52099693448,0.6244725738396625,237,148,89,0.3802080632503837,8814.79176604448,8748.52099693448,1027,0.3521545319465082,0.22362869198312235,436,96,96,1000.2320675105485,0.0037378008655178274,0,3002577,203.22150306551998,8751.7425,8548.52099693448,12.822405042
0.0008,0.5,0.075,0.985,8267.60166253448,0.6218487394957983,238,148,90,0.3802080632503837,8814.79176604448,8467.60166253448,1031,0.3515509601181684,0.226890756302521,439,97,97,1000.2310924369748,0.0036839329856489075,0,3002577,206.42083746551998,8474.0225,8267.60166253448,12.901381708
0.0008,0.5,0.1,0.965,-42.25787143615983,0.4142857142857143,70,29,41,0.5161062696821094,325.98506382840003,157.74212856384017,897,0.3977272727272727,0.1,106,37,37,1000.4428571428572,0.011635361150829762,0,3002577,14.68347143616,-27.574399999999834,-42.25787143615983,13.010175333
0.0008,0.5,0.1,0.97,-42.25787143615983,0.4142857142857143,70,29,41,0.5161062696821094,325.98506382840003,157.74212856384017,919,0.39325842696629215,0.1,108,37,37,1000.4428571428572,0.011635361150829762,0,3002577,14.68347143616,-27.574399999999834,-42.25787143615983,12.870290583
0.0008,0.5,0.1,0.975,8630.85053660104,0.6111111111111112,216,132,84,0.4970290397469618,8897.12130571104,8830.85053660104,1022,0.3282674772036474,0.24074074074074073,442,92,92,1000.2592592592592,0.0032335820516353215,0,3002577,202.26796339895995,8833.118499999999,8630.85053660104,12.947112167
0.0008,0.5,0.1,0.98,8630.85053660104,0.6111111111111112,216,132,84,0.4970290397469618,8897.12130571104,8830.85053660104,1022,0.3282674772036474,0.24074074074074073,442,92,92,1000.2592592592592,0.0032335820516353215,0,3002577,202.26796339895995,8833.118499999999,8630.85053660104,13.36711875
0.0008,0.5,0.1,0.985,8349.93120220104,0.6082949308755761,217,132,85,0.4970290397469618,8897.12130571104,8549.93120220104,1026,0.32779456193353473,0.24423963133640553,445,93,93,1000.258064516129,0.0031866130693935894,0,3002577,205.46729779895995,8555.3985,8349.93120220104,13.438242208
0.0008,0.5,0.125,0.965,-30.515599351199995,0.4084507042253521,71,29,42,0.5080162333172756,344.4918554764,169.4844006488,897,0.41040462427745666,0.15492957746478872,102,40,40,1000.4647887323944,0.011106398622717983,0,3002577,17.311399351199995,-13.2042,-30.515599351199995,13.401381917
0.0008,0.5,0.125,0.97,-30.515599351199995,0.4084507042253521,71,29,42,0.5080162333172756,344.4918554764,169.4844006488,919,0.41040462427745666,0.15492957746478872,102,40,40,1000.4647887323944,0.011106398622717983,0,3002577,17.311399351199995,-13.2042,-30.515599351199995,13.286272459
0.0008,0.5,0.125,0.975,-76.78167483008005,0.41025641025641024,78,32,46,0.5067202707004085,249.79401716927998,123.21832516991995,1026,0.3482142857142857,0.08974358974358974,146,53,53,1000.5384615384615,0.008484811951514789,0,3002577,15.453674830080002,-61.328000000000046,-76.78167483008005,13.18569125
0.0008,0.5,0.125,0.98,-76.78167483008005,0.41025641025641024,78,32,46,0.5067202707004085,249.79401716927998,123.21832516991995,1026,0.3482142857142857,0.08974358974358974,146,53,53,1000.5384615384615,0.008484811951514789,0,3002577,15.453674830080002,-61.328000000000046,-76.78167483008005,12.4394005
0.0008,0.5,0.125,0.985,-76.78167483008005,0.41025641025641024,78,32,46,0.5067202707004085,249.79401716927998,123.21832516991995,1030,0.3482142857142857,0.08974358974358974,146,53,53,1000.5384615384615,0.008484811951514789,0,3002577,15.453674830080002,-61.328000000000046,-76.78167483008005,12.193155208
0.0008,0.55,0.03,0.965,-16.84987776,0.2857142857142857,7,2,5,0.08424938879999999,200,183.15012224,1112,0.006334841628959276,0,1098,0,0,1000.1428571428571,0.0285714285714286,0,3002577,0.64987776,-16.2,-16.84987776,12.390241291
0.0008,0.55,0.03,0.97,-16.84987776,0.2857142857142857,7,2,5,0.08424938879999999,200,183.15012224,1134,0.006211180124223602,0,1120,0,0,1000.1428571428571,0.0285714285714286,0,3002577,0.64987776,-16.2,-16.84987776,12.359201541000001
0.0008,0.55,0.03,0.975,-16.84987776,0.2857142857142857,7,2,5,0.08424938879999999,200,183.15012224,1242,0.005668016194331984,0,1228,0,0,1000.1428571428571,0.0285714285714286,0,3002577,0.64987776,-16.2,-16.84987776,12.475034125
0.0008,0.55,0.03,0.98,-16.84987776,0.2857142857142857,7,2,5,0.08424938879999999,200,183.15012224,1242,0.005668016194331984,0,1228,0,0,1000.1428571428571,0.0285714285714286,0,3002577,0.64987776,-16.2,-16.84987776,12.596303666
0.0008,0.55,0.03,0.985,-16.84987776,0.2857142857142857,7,2,5,0.08424938879999999,200,183.15012224,1246,0.005649717514124294,0,1232,0,0,1000.1428571428571,0.0285714285714286,0,3002577,0.64987776,-16.2,-16.84987776,12.53315825
