strategy,trades,wins,losses,pnl_net,avg_pnl_net,worst_trade,best_trade,fees,avg_size,total_size
latency-arb,110,69,41,804.7107904353601,7.315552640321456,-151.869805736,166.98810662696,61.96880956464,65.21154545454546,7173.27
spread-capture,3,0,3,-61.77211948,-20.590706493333332,-34.056540496,-5.323538984000001,0.9221194799999999,39.0,117.0
calm-persistence,67,37,30,-140.60540470776002,-2.098588129966567,-46.387968,71.584735992,22.28810470776,39.72402985074627,2661.51
