market_id,question,first_trade_ms,last_trade_ms,trades,pnl_net,worst_trade,best_trade
2041034,"Bitcoin Up or Down - April 22, 1:30AM-1:35AM ET",1776835819411,1776835819411,1,-151.869805736,-151.869805736,-151.869805736
2036509,"Bitcoin Up or Down - April 21, 3:25PM-3:30PM ET",1776799526114,1776799710517,2,-145.51234150879998,-108.8900504368,-36.622291071999996
2041487,"Bitcoin Up or Down - April 22, 3:25AM-3:30AM ET",1776842736585,1776842910937,2,-111.701984136,-82.876180416,-28.82580372
2041068,"Bitcoin Up or Down - April 22, 1:40AM-1:45AM ET",1776836428332,1776836610278,2,-106.905572224,-80.04938022399999,-26.856192000000004
2022842,"Bitcoin Up or Down - April 20, 9:10AM-9:15AM ET",1776690710189,1776690710189,1,-87.200031744,-87.200031744,-87.200031744
2023719,"Bitcoin Up or Down - April 20, 11:45AM-11:50AM ET",1776700046513,1776700046513,1,-80.47233084,-80.47233084,-80.47233084
2017579,"Bitcoin Up or Down - April 19, 6:30PM-6:35PM ET",1776637805370,1776637805370,1,-79.083146624,-79.083146624,-79.083146624
2032273,"Bitcoin Up or Down - April 21, 7:15AM-7:20AM ET",1776770122024,1776770122024,1,-74.15982929664,-74.15982929664,-74.15982929664
2002613,"Bitcoin Up or Down - April 17, 7:40PM-7:45PM ET",1776469386805,1776469386805,1,-64.91900095999999,-64.91900095999999,-64.91900095999999
2015594,"Bitcoin Up or Down - April 19, 1:00PM-1:05PM ET",1776618205872,1776618205872,1,-59.409152000000006,-59.409152000000006,-59.409152000000006
2049002,"Bitcoin Up or Down - April 22, 10:55PM-11:00PM ET",1776912908139,1776913116860,2,-51.852195183999996,-28.407821,-23.444374184
2048500,"Bitcoin Up or Down - April 22, 10:15PM-10:20PM ET",1776910565573,1776910701456,2,-47.831680072000005,-25.439640072000003,-22.39204
2039509,"Bitcoin Up or Down - April 21, 9:40PM-9:45PM ET",1776822210512,1776822210512,1,-46.387968,-46.387968,-46.387968
2040884,"Bitcoin Up or Down - April 22, 12:40AM-12:45AM ET",1776832832116,1776833010759,2,-46.02748120064001,-28.741814384640005,-17.285666816000003
2002768,"Bitcoin Up or Down - April 17, 8:35PM-8:40PM ET",1776472699416,1776472699416,1,-45.880028496639994,-45.880028496639994,-45.880028496639994
2039137,"Bitcoin Up or Down - April 21, 8:00PM-8:05PM ET",1776816222422,1776816222422,1,-44.263349000000005,-44.263349000000005,-44.263349000000005
2040956,"Bitcoin Up or Down - April 22, 12:55AM-1:00AM ET",1776833910556,1776833910556,1,-41.541935512,-41.541935512,-41.541935512
2028929,"Bitcoin Up or Down - April 20, 10:25PM-10:30PM ET",1776738555963,1776738555963,1,-40.356125207999995,-40.356125207999995,-40.356125207999995
2041250,"Bitcoin Up or Down - April 22, 2:25AM-2:30AM ET",1776839332992,1776839332992,1,-36.616830631999996,-36.616830631999996,-36.616830631999996
2047899,"Bitcoin Up or Down - April 22, 7:25PM-7:30PM ET",1776900305278,1776900514401,2,-34.4863442,-25.439640072,-9.046704128
2032780,"Bitcoin Up or Down - April 21, 8:00AM-8:05AM ET",1776772961457,1776772961457,1,-34.056540496,-34.056540496,-34.056540496
2048079,"Bitcoin Up or Down - April 22, 8:25PM-8:30PM ET",1776904042117,1776904115066,2,-33.663466504,-21.274185288,-12.389281216
2045577,"Bitcoin Up or Down - April 22, 12:55PM-1:00PM ET",1776876908184,1776876908184,1,-33.01517516,-33.01517516,-33.01517516
2041973,"Bitcoin Up or Down - April 22, 5:10AM-5:15AM ET",1776849210262,1776849210262,1,-30.229254000000005,-30.229254000000005,-30.229254000000005
2045740,"Bitcoin Up or Down - April 22, 1:25PM-1:30PM ET",1776878704985,1776878704985,1,-30.206546944000003,-30.206546944000003,-30.206546944000003
2033919,"Bitcoin Up or Down - April 21, 10:25AM-10:30AM ET",1776781712790,1776781712790,1,-30.0137956,-30.0137956,-30.0137956
2023701,"Bitcoin Up or Down - April 20, 11:40AM-11:45AM ET",1776699840408,1776699840408,1,-29.593050696,-29.593050696,-29.593050696
2044277,"Bitcoin Up or Down - April 22, 11:30AM-11:35AM ET",1776872047920,1776872047920,1,-29.277757440000002,-29.277757440000002,-29.277757440000002
2044092,"Bitcoin Up or Down - April 22, 11:15AM-11:20AM ET",1776871144599,1776871144599,1,-28.055286272000004,-28.055286272000004,-28.055286272000004
1998992,"Bitcoin Up or Down - April 17, 9:00AM-9:05AM ET",1776430933216,1776430933216,1,-26.9752828,-26.9752828,-26.9752828
2043238,"Bitcoin Up or Down - April 22, 8:05AM-8:10AM ET",1776859738861,1776859738861,1,-26.557773119999997,-26.557773119999997,-26.557773119999997
1969838,"Bitcoin Up or Down - April 14, 10:40AM-10:45AM ET",1776177788951,1776177811239,2,-25.8051328,-17.997730816,-7.807401983999999
1992391,"Bitcoin Up or Down - April 16, 11:45AM-11:50AM ET",1776354334388,1776354516508,2,-25.439640072,-18.690347808,-6.749292264
2002951,"Bitcoin Up or Down - April 17, 9:50PM-9:55PM ET",1776477244269,1776477244269,1,-24.197082176,-24.197082176,-24.197082176
2047667,"Bitcoin Up or Down - April 22, 6:10PM-6:15PM ET",1776896010261,1776896010261,1,-23.443047655999997,-23.443047655999997,-23.443047655999997
1992684,"Bitcoin Up or Down - April 16, 12:05PM-12:10PM ET",1776355708441,1776355711765,2,-23.4113504,-17.324399296,-6.086951104000001
2048336,"Bitcoin Up or Down - April 22, 9:30PM-9:35PM ET",1776907802967,1776907802967,1,-20.3456,-20.3456,-20.3456
1969832,"Bitcoin Up or Down - April 14, 10:35AM-10:40AM ET",1776177312465,1776177312465,1,-19.809105096,-19.809105096,-19.809105096
2046908,"Bitcoin Up or Down - April 22, 4:25PM-4:30PM ET",1776889718618,1776889718618,1,-19.3223008,-19.3223008,-19.3223008
2036383,"Bitcoin Up or Down - April 21, 3:15PM-3:20PM ET",1776798932781,1776798932781,1,-17.94715290176,-17.94715290176,-17.94715290176
1993044,"Bitcoin Up or Down - April 16, 1:15PM-1:20PM ET",1776359702102,1776359702102,1,-17.306,-17.306,-17.306
1992211,"Bitcoin Up or Down - April 16, 11:00AM-11:05AM ET",1776351674289,1776351674289,1,-17.264180992,-17.264180992,-17.264180992
1973440,"Bitcoin Up or Down - April 14, 3:35PM-3:40PM ET",1776195468001,1776195468001,1,-16.479936,-16.479936,-16.479936
2036759,"Bitcoin Up or Down - April 21, 4:15PM-4:20PM ET",1776802624901,1776802624901,1,-15.753178656000001,-15.753178656000001,-15.753178656000001
2048052,"Bitcoin Up or Down - April 22, 8:15PM-8:20PM ET",1776903305693,1776903305693,1,-15.472899640000001,-15.472899640000001,-15.472899640000001
2039207,"Bitcoin Up or Down - April 21, 8:10PM-8:15PM ET",1776816810274,1776816810274,1,-14.683568999999999,-14.683568999999999,-14.683568999999999
1975530,"Bitcoin Up or Down - April 14, 7:10PM-7:15PM ET",1776208208805,1776208208805,1,-14.291102592000001,-14.291102592000001,-14.291102592000001
1999126,"Bitcoin Up or Down - April 17, 9:35AM-9:40AM ET",1776433114440,1776433114440,1,-13.452041736,-13.452041736,-13.452041736
2023219,"Bitcoin Up or Down - April 20, 10:25AM-10:30AM ET",1776695331571,1776695331571,1,-13.39439012856,-13.39439012856,-13.39439012856
1960202,"Bitcoin Up or Down - April 13, 12:50PM-12:55PM ET",1776099037273,1776099037273,1,-12.605794151999998,-12.605794151999998,-12.605794151999998
1993743,"Bitcoin Up or Down - April 16, 3:15PM-3:20PM ET",1776366966521,1776366966521,1,-12.393627455999999,-12.393627455999999,-12.393627455999999
1960057,"Bitcoin Up or Down - April 13, 12:20PM-12:25PM ET",1776097241867,1776097419062,2,-10.670332712,-14.566652712,3.8963200000000002
1960159,"Bitcoin Up or Down - April 13, 12:40PM-12:45PM ET",1776098474810,1776098474810,1,-9.280942463999999,-9.280942463999999,-9.280942463999999
1960116,"Bitcoin Up or Down - April 13, 12:30PM-12:35PM ET",1776097999067,1776097999067,1,-8.3813334,-8.3813334,-8.3813334
1952174,"Bitcoin Up or Down - April 12, 7:55PM-8:00PM ET",1776038239696,1776038239696,1,-6.555178112,-6.555178112,-6.555178112
1967323,"Bitcoin Up or Down - April 14, 4:10AM-4:15AM ET",1776154311296,1776154311296,1,-6.3284013448800005,-6.3284013448800005,-6.3284013448800005
1986437,"Bitcoin Up or Down - April 15, 6:05PM-6:10PM ET",1776290919084,1776290919084,1,-5.402483208,-5.402483208,-5.402483208
1993777,"Bitcoin Up or Down - April 16, 3:30PM-3:35PM ET",1776367907828,1776367907828,1,-5.402483208,-5.402483208,-5.402483208
2006012,"Bitcoin Up or Down - April 18, 8:30AM-8:35AM ET",1776515614668,1776515614668,1,-5.323538984000001,-5.323538984000001,-5.323538984000001
1964515,"Bitcoin Up or Down - April 13, 9:20PM-9:25PM ET",1776129822959,1776129822959,1,-5.220530136,-5.220530136,-5.220530136
1980666,"Bitcoin Up or Down - April 15, 9:35AM-9:40AM ET",1776260210377,1776260210377,1,-5.09,-5.09,-5.09
1969598,"Bitcoin Up or Down - April 14, 10:05AM-10:10AM ET",1776175611115,1776175724510,2,1.673708984000002,-6.30517184,7.978880824000002
1999273,"Bitcoin Up or Down - April 17, 10:00AM-10:05AM ET",1776434407854,1776434618417,2,1.972454,-5.4933119999999995,7.4657659999999995
1963736,"Bitcoin Up or Down - April 13, 7:05PM-7:10PM ET",1776121744860,1776121744860,1,2.875412672,2.875412672,2.875412672
