source,event_type,count,first_ms,last_ms
clob,connected,3906,1776008093585,1777055400229
binance,connected,986,1776008094175,1777055197186
binance,disconnected,985,1776098099107,1777055195121
clob,disconnected,942,1776042931340,1777055384850
chainlink,connected,230,1776008093498,1777054754923
chainlink,disconnected,229,1776015293755,1777054753583
chainlink,stale,61,1776069310809,1776999383116
