CALM_PERSISTENCE_MAX_ASK,CALM_PERSISTENCE_MIN_ABS_DISTANCE_BPS,CALM_PERSISTENCE_DISTANCE_VOL_RATIO_THRESHOLD,CALM_PERSISTENCE_MIN_ALIGNMENT_FRACTION,CALM_PERSISTENCE_MAX_FAIR_BIAS,pnl,win_rate,trades,wins,losses,max_dd,hwm,final_balance,signals,fill_rate,partial_fill_rate,no_fill_count,spread_legging_count,residual_position_count,avg_fill_latency_ms,avg_slippage,raw_event_batches,legacy_snapshot_batches,dislocation_regime_count,structural_pair_regime_count,calm_regime_count,dislocation_queued,structural_pair_queued,calm_queued,dislocation_filled,structural_pair_filled,calm_filled,dislocation_missed,structural_pair_missed,calm_missed,latency_arb_candidates,spread_capture_candidates,calm_persistence_candidates,router_blocked_count,capital_blocked_count,latency_spread_overlap_count,latency_calm_overlap_count,spread_calm_overlap_count,total_fees,gross_pnl,pnl_net,elapsed_s
0.65,6,1.5,0.6,0.35,0,0,0,0,0,0,200,200,0,0,0,0,0,0,0,0,0,3002577,2141551,212,860210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.697738958
0.75,5,1,0.5,0.25,53842.86404717379,0.8161925601750547,457,373,84,0.45009099905626243,54379.56348633187,54042.86404717379,1344,0.4291079812206573,0.5645514223194749,608,0,0,1000.1859956236324,0.007539196264121589,0,3002577,2134488,212,857318,0,0,1065,0,0,457,0,0,608,0,0,1344,0,2,0,0,0,1320.1675528262392,55163.03160000003,53842.86404717379,17.935986416
0.75,5,1,0.5,0.35,58602.789338670504,0.8260869565217391,483,399,84,0.45009099905626243,59139.488777828585,58802.789338670504,1429,0.42592592592592593,0.5900621118012422,651,0,0,1000.1821946169772,0.007147532426790584,0,3002577,2134488,212,857318,0,0,1134,0,0,483,0,0,651,0,0,1429,0,2,0,0,0,1420.47536132952,60023.26470000002,58602.789338670504,18.275822709
0.75,5,1,0.6,0.25,0,0,0,0,0,0,200,200,0,0,0,0,0,0,0,0,0,3002577,2141551,212,860210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.25477975
0.75,5,1,0.6,0.35,0,0,0,0,0,0,200,200,0,0,0,0,0,0,0,0,0,3002577,2141551,212,860210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.258564792
0.75,5,1.5,0.5,0.25,53842.86404717379,0.8161925601750547,457,373,84,0.45009099905626243,54379.56348633187,54042.86404717379,1344,0.4291079812206573,0.5645514223194749,608,0,0,1000.1859956236324,0.007539196264121589,0,3002577,2134488,212,857318,0,0,1065,0,0,457,0,0,608,0,0,1344,0,2,0,0,0,1320.1675528262392,55163.03160000003,53842.86404717379,18.247335709
0.75,5,1.5,0.5,0.35,58602.789338670504,0.8260869565217391,483,399,84,0.45009099905626243,59139.488777828585,58802.789338670504,1429,0.42592592592592593,0.5900621118012422,651,0,0,1000.1821946169772,0.007147532426790584,0,3002577,2134488,212,857318,0,0,1134,0,0,483,0,0,651,0,0,1429,0,2,0,0,0,1420.47536132952,60023.26470000002,58602.789338670504,17.719854666
0.75,5,1.5,0.6,0.25,0,0,0,0,0,0,200,200,0,0,0,0,0,0,0,0,0,3002577,2141551,212,860210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.287133709
0.75,5,1.5,0.6,0.35,0,0,0,0,0,0,200,200,0,0,0,0,0,0,0,0,0,3002577,2141551,212,860210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.173715834
0.75,6,1,0.5,0.25,51234.38727724792,0.8571428571428571,385,330,55,0.39576304607002294,51434.38727724792,51434.38727724792,1175,0.41576673866090713,0.5766233766233766,541,0,0,1000.1792207792208,0.007309656898678369,0,3002577,2138357,212,858864,0,0,926,0,0,385,0,0,541,0,0,1175,0,2,0,0,0,1163.8756227520805,52398.2629,51234.38727724792,17.920175
0.75,6,1,0.5,0.35,56075.2469852225,0.8658536585365854,410,355,55,0.39576304607002294,56275.2469852225,56275.2469852225,1260,0.41164658634538154,0.5975609756097561,586,0,0,1000.1756097560975,0.007067903821557853,0,3002577,2138357,212,858864,0,0,996,0,0,410,0,0,586,0,0,1260,0,2,0,0,0,1269.5241147775196,57344.77110000001,56075.2469852225,18.06893975
0.75,6,1,0.6,0.25,0,0,0,0,0,0,200,200,0,0,0,0,0,0,0,0,0,3002577,2141551,212,860210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.259727167
0.75,6,1,0.6,0.35,0,0,0,0,0,0,200,200,0,0,0,0,0,0,0,0,0,3002577,2141551,212,860210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.312112792
0.75,6,1.5,0.5,0.25,51234.38727724792,0.8571428571428571,385,330,55,0.39576304607002294,51434.38727724792,51434.38727724792,1175,0.41576673866090713,0.5766233766233766,541,0,0,1000.1792207792208,0.007309656898678369,0,3002577,2138357,212,858864,0,0,926,0,0,385,0,0,541,0,0,1175,0,2,0,0,0,1163.8756227520805,52398.2629,51234.38727724792,17.949445875
0.75,6,1.5,0.5,0.35,56075.2469852225,0.8658536585365854,410,355,55,0.39576304607002294,56275.2469852225,56275.2469852225,1260,0.41164658634538154,0.5975609756097561,586,0,0,1000.1756097560975,0.007067903821557853,0,3002577,2138357,212,858864,0,0,996,0,0,410,0,0,586,0,0,1260,0,2,0,0,0,1269.5241147775196,57344.77110000001,56075.2469852225,17.861766375
0.75,6,1.5,0.6,0.25,0,0,0,0,0,0,200,200,0,0,0,0,0,0,0,0,0,3002577,2141551,212,860210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.255084917
0.75,6,1.5,0.6,0.35,0,0,0,0,0,0,200,200,0,0,0,0,0,0,0,0,0,3002577,2141551,212,860210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.231804792
